horse_id,horse_name,date,venue,weather,race_number,race_name,race_id,映像,field_size,waku,horse_number,win_odds,popularity,finish_position,jockey,jockey_id,weight_carried,distance,水分量,track_condition,馬場指数,time,margin,ﾀｲﾑ指数タイム指数(通常)タイム指数マスター,ﾀｲﾑ指数Mタイム指数(通常)タイム指数マスター,ｽﾀｰﾄ指数,追走指数,上がり指数,passing_order,pace,last_3f,horse_weight,trainer_comment,remarks,winner_or_second,prize_money,surface,distance_m
000a024a0d,Kalpana,2026/06/20,アスコット,,,ハードウィック(GII),2026A0a00602,,12,,11,,1,2,キーン,a033f,57,芝2390,,良,,,,,,,,,,,,計不,,,,,芝,2390
000a024a0d,Kalpana,2026/05/16,ニューベリー,,,アストンパークS(GIII),2026ACa00201,,5,,1,,1,1,キーン,a033f,60,芝2400,,良,,2:28.71,,,,,,,,,,計不,,,(),,芝,2400
000a024a0d,Kalpana,2025/10/18,アスコット,,,フィリーズ&メアズS(GI),2025A0a00b04,,10,,3,,1,1,キーン,a033f,60.5,芝2390,,良,,2:32.67,,,,,,,,,,計不,,,(),,芝,2390
000a024a0d,Kalpana,2025/10/05,パリロンシャン,,5,凱旋門賞(GI),2025C8020105,,17,,9,14.5,7,7,キーン,a033f,58,芝2400,,重,,,,,,,,,,,,計不,,,,,芝,2400
000a024a0d,Kalpana,2025/09/06,イギリス,,,セプテンバーS(GIII),2025A6a00f01,,6,,4,,1,2,キーン,a033f,59,ダ2400,,良,,,,,,,,,,,,計不,,,,,ダート,2400
000a024a0d,Kalpana,2025/07/26,アスコット,,,キングジョージ6世&ク(GI),2025A0a00806,,5,,5,,4,2,マーフィ,05575,60,芝2390,,良,,,,,,,,,,,,計不,,,,,芝,2390
000a024a0d,Kalpana,2025/06/28,カラ,,,プリティポリーS(GI),2025B0a00605,,7,,3,,1,2,キーン,a033f,62.5,芝2000,,良,,,,,,,,,,,,計不,,,,,芝,2000
000a024a0d,Kalpana,2025/05/25,カラ,,,タタソールズGC(GI),2025B0a00504,,9,,9,,2,3,マーフィ,05575,58,芝2100,,良,,,,,,,,,,,,計不,,,,,芝,2100
000a024a0d,Kalpana,2024/10/19,アスコット,,,英チャンピオンズフィ(GI),2024A0a00903,,14,,12,4.3,1,1,ビュイッ,05495,57.5,芝2320,,重,,2:29.57,,,,,,,,,,計不,,,(),,芝,2320
000a024a0d,Kalpana,2024/09/07,イギリス,,,セプテンバーS(GIII),2024A6a00b02,,7,,7,1.0,1,1,マクドナ,a03fa,55.5,ダ2400,,良,,2:33.34,,,,,,,,,,計不,,,(),,ダート,2400
000a024a0d,Kalpana,2024/07/19,イギリス,,,グラスゴーS,2024A6a01a04,,5,,4,1.8,1,1,マクドナ,a03fa,58,芝2200,,良,,2:19.84,,,,,,,,,,計不,,,(),,芝,2200
000a024a0d,Kalpana,2024/06/20,アスコット,,,リブルズデールS(GII),2024A0062003,,12,,6,3.3,1,3,マーフィ,05575,58,芝2400,,良,,,,,,,,,,,,計不,,,,,芝,2400
000a024a0d,Kalpana,2024/05/05,ニューマーケット,,,プリティポリーS(OP),2024A7050501,,8,,4,1.7,1,2,マーフィ,05575,58,芝2000,,良,,,,,,,,,,,,計不,,,,,芝,2000
000a024a0d,Kalpana,2024/04/17,ニューマーケット,,,ハンデ戦,2024A7041707,,9,,10,6.5,3,1,ムーア,05366,56,芝2000,,良,,2:03.19,,,,,,,,,,計不,,,(),,芝,2000
000a024a0d,Kalpana,2024/03/07,イギリス,,,新馬戦,2024A6a01b02,,7,,1,6.0,3,2,イーヴス,a03c8,60.5,ダ1600,,良,,,,,,,,,,,,計不,,,,,ダート,1600
000a024a0d,Kalpana,2024/01/19,イギリス,,,新馬戦,2024A6a01c06,,7,,7,6.0,3,1,ターナー,05526,52.5,ダ1700,,良,,1:50.07,,,,,,,,,,計不,,,(),,ダート,1700
