horse_id,horse_name,date,venue,weather,race_number,race_name,race_id,映像,field_size,waku,horse_number,win_odds,popularity,finish_position,jockey,jockey_id,weight_carried,distance,水分量,track_condition,馬場指数,time,margin,ﾀｲﾑ指数タイム指数(通常)タイム指数マスター,ﾀｲﾑ指数Mタイム指数(通常)タイム指数マスター,ｽﾀｰﾄ指数,追走指数,上がり指数,passing_order,pace,last_3f,horse_weight,trainer_comment,remarks,winner_or_second,prize_money,surface,distance_m
000a029d4f,Minnie Hauk,2026/06/17,アスコット,,,プリンスオブウェール(GI),2026A0a00304,,8,,7,,4,2,ムーア,05366,56.5,芝1990,,良,,,,,,,,,,,,計不,,,,,芝,1990
000a029d4f,Minnie Hauk,2026/05/24,カラ,,,タタソールズGC(GI),2026B0a00305,,7,,8,,1,5,ムーア,05366,58,芝2100,,良,,,,,,,,,,,,計不,,,,,芝,2100
000a029d4f,Minnie Hauk,2026/05/04,カラ,,,ムールズブリッジS(GII),2026B0a00606,,6,,6,,1,1,ムーア,05366,58,芝2000,,良,,2:06.50,,,,,,,,,,計不,,,(),,芝,2000
000a029d4f,Minnie Hauk,2025/11/01,デルマー,,8,BCターフ(GI),2025FP010108,,14,,8,4.4,1,6,スミヨン,05271,54,芝2400,,良,,,,,,,,,,,,計不,,,,,芝,2400
000a029d4f,Minnie Hauk,2025/10/05,パリロンシャン,,5,凱旋門賞(GI),2025C8020105,,17,,17,4.8,2,2,スミヨン,05271,55,芝2400,,重,,,,,,,,,,,,計不,,,,,芝,2400
000a029d4f,Minnie Hauk,2025/08/21,ヨーク,,,ヨークシャーオークス(GI),2025AHa00a04,,4,,3,,1,1,ムーア,05366,57,芝2370,,良,,2:26.67,,,,,,,,,,計不,,,(),,芝,2370
000a029d4f,Minnie Hauk,2025/07/19,カラ,,,愛オークス(GI),2025B0a00905,,7,,5,,1,1,ムーア,05366,58,芝2400,,良,,2:33.62,,,,,,,,,,計不,,,(),,芝,2400
000a029d4f,Minnie Hauk,2025/06/06,エプソム,,,英オークス(GI),2025A1a00105,,9,,5,,2,1,ムーア,05366,58,芝2410,,稍,,2:38.91,,,,,,,,,,計不,,,(),,芝,2410
000a029d4f,Minnie Hauk,2025/05/07,チェスター,,,チェスターオークス(OP),2025AJa00103,,7,,3,,1,1,ムーア,05366,58,芝2300,,良,,2:29.15,,,,,,,,,,計不,,,(),,芝,2300
000a029d4f,Minnie Hauk,2024/10/19,レパーズタウン,,,未勝利戦,2024B1a00801,,9,,8,,1,1,ローダン,a02c7,58,芝1600,,重,,1:47.10,,,,,,,,,,計不,,,(),,芝,1600
000a029d4f,Minnie Hauk,2024/10/01,アイルランド,,,未勝利戦,2024B2a00605,,15,,7,,1,2,ローダン,a02c7,58,芝1600,,稍,,,,,,,,,,,,計不,,,,,芝,1600
