horse_id,horse_name,date,venue,weather,race_number,race_name,race_id,映像,field_size,waku,horse_number,win_odds,popularity,finish_position,jockey,jockey_id,weight_carried,distance,水分量,track_condition,馬場指数,time,margin,ﾀｲﾑ指数タイム指数(通常)タイム指数マスター,ﾀｲﾑ指数Mタイム指数(通常)タイム指数マスター,ｽﾀｰﾄ指数,追走指数,上がり指数,passing_order,pace,last_3f,horse_weight,trainer_comment,remarks,winner_or_second,prize_money,surface,distance_m
2022100700,ポッドロルフ,2026/06/21,3東京6,曇,8,3歳以上1勝クラス,202605030608,,16,1,1,43.8,9,5,三浦皇成,01122,58,芝1600,,稍,-22,1:34.2,0.4,82,82,93,90,93,6-5,35.4-34.8,34.7,462(-4),,,ラベルセーヌ,82.0,芝,1600
2022100700,ポッドロルフ,2026/05/31,2東京12,晴,6,4歳以上1勝クラス,202605021206,,11,7,8,5.0,4,4,荻野極,01160,58,芝1800,,良,**,1:46.2,1.1,**,**,**,**,**,2-3-3,35.6-34.1,34.7,466(0),,,セイロンジェムズ,120.0,芝,1800
2022100700,ポッドロルフ,2026/04/12,3中山6,晴,7,4歳以上1勝クラス,202606030607,,15,4,6,32.5,8,6,大久保友,01194,55,芝1600,,良,**,1:33.3,0.5,**,**,**,**,**,2-4-4,34.9-34.8,35.0,466(0),,,ブラックジェダイト,,芝,1600
2022100700,ポッドロルフ,2026/03/14,1中京1,晴,7,4歳以上1勝クラス,202607010107,,16,5,9,86.4,13,2,大久保友,01194,55,芝1600,,良,**,1:33.8,0.3,**,**,**,**,**,8-10-9,35.6-34.5,34.1,466(-14),,,スナークピカソ,330.0,芝,1600
2022100700,ポッドロルフ,2026/01/11,1中山4,晴,8,4歳以上1勝クラス,202606010408,,16,3,6,112.6,11,7,大久保友,01194,54,芝1600,,良,**,1:33.5,1.4,**,**,**,**,**,4-7-6,33.8-35.3,36.0,480(+28),,,クライスレリアーナ,,芝,1600
2022100700,ポッドロルフ,2025/09/14,4中山4,曇,12,3歳以上1勝クラス,202506040412,,16,1,2,52.0,11,5,荻野極,01160,56,芝1600,,良,**,1:33.3,0.8,**,**,**,**,**,6-6-6,34.9-34.7,34.6,452(0),,,エンペラーズソード,80.0,芝,1600
2022100700,ポッドロルフ,2025/08/23,3新潟1,晴,12,3歳以上1勝クラス,202504030112,,12,3,3,24.8,7,6,石橋脩,01077,55,芝1600,,良,**,1:34.3,1.3,**,**,**,**,**,7-6,34.7-34.0,34.3,452(-4),,,ブルーベリーフィズ,,芝,1600
2022100700,ポッドロルフ,2025/07/26,2新潟1,晴,12,3歳未勝利,202504020112,,17,2,4,41.9,8,1,荻野極,01160,57,芝1400,,良,**,1:20.8,-0.2,**,**,**,**,**,7-7,33.7-35.8,34.8,456(-2),,,(タイヨウノキセツ),560.0,芝,1400
2022100700,ポッドロルフ,2025/05/10,2東京5,曇,5,3歳未勝利,202505020505,,16,1,2,112.9,8,6,横山和生,01140,57,芝1400,,稍,**,1:22.6,0.5,**,**,**,**,**,6-8,35.1-35.2,34.9,458(0),,,ポッドロワール,,芝,1400
2022100700,ポッドロルフ,2025/04/26,1福島5,晴,4,3歳未勝利,202503010504,,12,1,1,55.8,8,7,上里直汰,01217,54,芝1200,,良,**,1:10.2,1.5,**,**,**,**,**,6-8,33.7-35.0,35.6,458(-10),,,カウンターセブン,,芝,1200
2022100700,ポッドロルフ,2025/02/23,1東京8,晴,1,3歳未勝利,202505010801,,16,1,2,323.2,14,15,松岡正海,01085,57,ダ1400,,良,**,1:30.0,3.6,**,**,**,**,**,5-5,36.0-38.0,40.9,468(+4),,,プライベートアイズ,,ダート,1400
2022100700,ポッドロルフ,2024/12/14,5中山5,晴,3,2歳未勝利,202406050503,,16,1,1,165.7,12,10,原優介,01184,55,ダ1200,,良,**,1:14.9,1.8,**,**,**,**,**,11-10,34.1-39.0,39.3,464(+6),,,ヤマメキング,,ダート,1200
2022100700,ポッドロルフ,2024/10/19,4東京5,晴,2,2歳未勝利,202405040502,,11,4,4,74.6,9,7,吉田豊,00733,56,芝1400,,良,**,1:23.1,1.0,**,**,**,**,**,5-5,35.3-35.0,35.3,458(+10),,,フクシマコウヨウ,,芝,1400
2022100700,ポッドロルフ,2024/09/01,3新潟8,晴,6,2歳新馬,202404030806,,16,3,5,131.9,13,10,吉田豊,00733,55,芝1400,,良,**,1:25.7,2.4,**,**,**,**,**,10-11,35.6-35.6,36.9,448(0),,,マックアルイーン,,芝,1400
