race_id,bet_type,combination,amount,popularity
202545071008,単勝,1,250,1.0
202545071008,複勝,1,140,1.0
202545071008,複勝,5,530,9.0
202545071008,複勝,10,630,10.0
202545071008,複勝,11,180,3.0
202545071008,枠連,1-5,1620,16.0
202545071008,枠連,1-7,2890,22.0
202545071008,枠連,1-8,340,6.0
202545071008,馬連,1-5,3160,27.0
202545071008,馬連,1-10,4840,38.0
202545071008,馬連,1-11,770,12.0
202545071008,ワイド,1-5,1600,33.0
202545071008,ワイド,1-10,2060,41.0
202545071008,ワイド,1-11,480,15.0
202545071008,ワイド,5-10,4600,56.0
202545071008,ワイド,5-11,1730,37.0
202545071008,ワイド,10-11,2160,45.0
202545071008,馬単,1-5,4010,39.0
202545071008,馬単,1-10,5870,51.0
202545071008,馬単,1-11,1030,11.0
202545071008,三連複,1-5-10,31030,157.0
202545071008,三連複,1-5-11,7700,78.0
202545071008,三連複,1-10-11,10130,99.0
202545071008,三連単,1-5-10,48840,669.0
202545071008,三連単,1-5-11,14150,282.0
202545071008,三連単,1-10-5,50690,684.0
202545071008,三連単,1-10-11,20270,392.0
202545071008,三連単,1-11-5,10790,270.0
202545071008,三連単,1-11-10,13490,
